"season","champion","mvp","roty","ppg_leader","rpg_leader","apg_leader"
"2000-01","Los Angeles Lakers","Allen Iverson","Mike Miller","Allen Iverson","Dikembe Mutombo","Jason Kidd"
"2001-02","Los Angeles Lakers","Tim Duncan","Pau Gasol","Allen Iverson","Ben Wallace","Andre Miller"
"2002-03","San Antonio Spurs","Tim Duncan","Amar'e Stoudemire","Tracy McGrady","Ben Wallace","Jason Kidd"
"2003-04","Detroit Pistons","Kevin Garnett","LeBron James","Tracy McGrady","Kevin Garnett","Jason Kidd"
"2004-05","San Antonio Spurs","Steve Nash","Emeka Okafor","Allen Iverson","Kevin Garnett","Steve Nash"
"2005-06","Miami Heat","Steve Nash","Chris Paul","Kobe Bryant","Kevin Garnett","Steve Nash"
"2006-07","San Antonio Spurs","Dirk Nowitzki","Brandon Roy","Kobe Bryant","Kevin Garnett","Steve Nash"
"2007-08","Boston Celtics","Kobe Bryant","Kevin Durant","LeBron James","Dwight Howard","Chris Paul"
"2008-09","Los Angeles Lakers","LeBron James","Derrick Rose","Dwyane Wade","Dwight Howard","Chris Paul"
"2009-10","Los Angeles Lakers","LeBron James","Tyreke Evans","Kevin Durant","Dwight Howard","Steve Nash"
"2010-11","Dallas Mavericks","Derrick Rose","Blake Griffin","Kevin Durant","Kevin Love","Steve Nash"
"2011-12","Miami Heat","LeBron James","Kyrie Irving","Kevin Durant","Dwight Howard","Rajon Rondo"
"2012-13","Miami Heat","LeBron James","Damian Lillard","Carmelo Anthony","Dwight Howard","Rajon Rondo"
"2013-14","San Antonio Spurs","Kevin Durant","Michael Carter-Williams","Kevin Durant","DeAndre Jordan","Chris Paul"
"2014-15","Golden State Warriors","Stephen Curry","Andrew Wiggins","Russell Westbrook","DeAndre Jordan","Chris Paul"
"2015-16","Cleveland Cavaliers","Stephen Curry","Karl-Anthony Towns","Stephen Curry","Andre Drummond","Rajon Rondo"
"2016-17","Golden State Warriors","Russell Westbrook","Malcolm Brogdon","Russell Westbrook","Hassan Whiteside","James Harden"
"2017-18","Golden State Warriors","James Harden","Ben Simmons","James Harden","Andre Drummond","Russell Westbrook"
"2018-19","Toronto Raptors","Giannis Antetokounmpo","Luka Dončić","James Harden","Andre Drummond","Russell Westbrook"
"2019-20","Los Angeles Lakers","Giannis Antetokounmpo","Ja Morant","James Harden","Andre Drummond","LeBron James"
"2020-21","Milwaukee Bucks","Nikola Jokić","LaMelo Ball","Stephen Curry","Clint Capela","Russell Westbrook"
"2021-22","Golden State Warriors","Nikola Jokić","Scottie Barnes","Joel Embiid","Rudy Gobert","Chris Paul"
"2022-23","Denver Nuggets","Joel Embiid","Paolo Banchero","Joel Embiid","Domantas Sabonis","James Harden"
