"season","team","wins","losses","fga","fg_per","three_pa","three_per","two_pa","two_per","fta","ft_per","off_reb","def_reb","ast","stl","blk","tov","fouls","pts"
"2000-01","Miami Heat",50,32,6258,"0.43",1384,"0.345",4874,"0.455",1874,"0.759",813,2435,1630,633,304,1122,1726,7289
"2001-02","Miami Heat",36,46,6382,"0.439",899,"0.347",5483,"0.454",1708,"0.724",902,2544,1664,547,448,1217,1846,7150
"2002-03","Miami Heat",25,57,6517,"0.412",1100,"0.316",5417,"0.432",1689,"0.765",948,2464,1501,592,324,1167,1856,7016
"2003-04","Miami Heat",42,40,6417,"0.425",1357,"0.357",5060,"0.443",1915,"0.762",940,2459,1565,590,313,1137,1812,7402
"2004-05","Miami Heat",59,23,6368,"0.486",1260,"0.377",5108,"0.513",2466,"0.672",887,2639,1790,528,474,1127,1814,8327
"2005-06","Miami Heat",52,30,6355,"0.478",1441,"0.345",4914,"0.517",2310,"0.7",858,2675,1692,522,442,1186,1871,8191
"2006-07","Miami Heat",44,38,6288,"0.464",1539,"0.343",4749,"0.503",2019,"0.69",817,2526,1681,566,442,1201,1749,7759
"2007-08","Miami Heat",15,67,6336,"0.443",1373,"0.358",4963,"0.467",1903,"0.727",743,2342,1644,589,355,1202,1670,7491
"2008-09","Miami Heat",43,39,6646,"0.457",1631,"0.357",5015,"0.489",1871,"0.754",828,2411,1671,651,451,1026,1696,8061
"2009-10","Miami Heat",47,35,6518,"0.458",1426,"0.346",5092,"0.489",1931,"0.752",875,2553,1548,605,457,1079,1710,7914
"2010-11","Miami Heat",58,24,6301,"0.481",1479,"0.37",4822,"0.515",2288,"0.769",790,2666,1639,544,430,1142,1674,8369
"2011-12","Miami Heat",46,20,5212,"0.469",1030,"0.359",4182,"0.496",1598,"0.775",686,2060,1317,585,355,1002,1282,6500
"2012-13","Miami Heat",66,16,6348,"0.496",1809,"0.396",4539,"0.536",1887,"0.754",676,2490,1890,710,441,1143,1533,8436
"2013-14","Miami Heat",54,28,6272,"0.501",1829,"0.364",4443,"0.558",1884,"0.76",627,2397,1847,732,367,1212,1596,8380
"2014-15","Miami Heat",37,45,6330,"0.456",1659,"0.335",4671,"0.499",1940,"0.741",747,2461,1626,642,372,1214,1636,7764
"2015-16","Miami Heat",48,34,6697,"0.47",1480,"0.336",5217,"0.508",1889,"0.744",807,2811,1709,553,531,1155,1502,8204
"2016-17","Miami Heat",41,41,7037,"0.455",2213,"0.365",4824,"0.496",1768,"0.706",872,2705,1742,588,469,1102,1680,8460
"2017-18","Miami Heat",44,38,6997,"0.455",2506,"0.36",4491,"0.508",1601,"0.755",763,2801,1862,620,437,1179,1648,8480
"2018-19","Miami Heat",39,43,7218,"0.45",2658,"0.349",4560,"0.509",1782,"0.695",921,2879,1991,627,448,1208,1712,8668
"2019-20","Miami Heat",44,29,6160,"0.468",2584,"0.379",3576,"0.532",1840,"0.783",620,2619,1892,547,332,1088,1501,8179
"2020-21","Miami Heat",40,32,6029,"0.468",2606,"0.358",3423,"0.553",1520,"0.79",579,2409,1895,569,286,1013,1363,7781
"2021-22","Miami Heat",53,29,6954,"0.467",2936,"0.379",4018,"0.531",1753,"0.808",807,2778,2090,606,265,1194,1679,9022
"2000-01","Boston Celtics",36,46,6485,"0.428",1633,"0.363",4852,"0.45",2190,"0.74",897,2367,1708,769,336,1285,1952,7759
"2001-02","Boston Celtics",49,33,6731,"0.424",1946,"0.359",4785,"0.45",1960,"0.764",891,2570,1722,793,292,1114,1776,7901
"2002-03","Boston Celtics",44,38,6509,"0.415",2155,"0.334",4354,"0.455",1994,"0.742",849,2471,1575,720,303,1147,1758,7599
"2003-04","Boston Celtics",36,46,6415,"0.443",1599,"0.346",4816,"0.475",2095,"0.75",851,2440,1683,770,331,1332,1837,7811
"2004-05","Boston Celtics",45,37,6511,"0.468",1252,"0.349",5259,"0.496",2323,"0.764",909,2438,1810,667,423,1297,2000,8304
"2005-06","Boston Celtics",33,49,6322,"0.467",1290,"0.362",5032,"0.494",2204,"0.755",813,2432,1716,578,422,1359,2033,8033
"2006-07","Boston Celtics",24,58,6454,"0.443",1283,"0.367",5171,"0.462",2178,"0.767",918,2391,1630,589,382,1350,1971,7857
"2007-08","Boston Celtics",66,16,6286,"0.475",1564,"0.381",4722,"0.506",2176,"0.771",830,2615,1833,696,379,1246,1864,8245
"2008-09","Boston Celtics",62,20,6333,"0.486",1355,"0.397",4978,"0.51",2075,"0.765",869,2586,1862,621,387,1280,1897,8275
"2009-10","Boston Celtics",50,32,6294,"0.483",1433,"0.348",4861,"0.523",2090,"0.746",716,2449,1930,701,402,1219,1816,8136
"2010-11","Boston Celtics",56,26,6219,"0.486",1119,"0.365",5100,"0.513",1895,"0.77",639,2542,1921,676,344,1195,1678,7913
"2011-12","Boston Celtics",39,27,5086,"0.46",988,"0.367",4098,"0.483",1308,"0.778",509,2051,1557,498,362,979,1315,6062
"2012-13","Boston Celtics",41,40,6459,"0.465",1390,"0.358",5069,"0.494",1698,"0.776",654,2533,1843,667,365,1181,1717,7818
"2013-14","Boston Celtics",25,57,6883,"0.435",1729,"0.333",5154,"0.47",1706,"0.777",980,2505,1726,584,343,1261,1743,7892
"2014-15","Boston Celtics",40,42,7211,"0.443",2021,"0.327",5190,"0.488",1678,"0.754",910,2685,2009,674,294,1133,1738,8312
"2015-16","Boston Celtics",48,34,7318,"0.439",2142,"0.335",5176,"0.483",1929,"0.788",950,2733,1981,752,348,1127,1796,8669
"2016-17","Boston Celtics",53,29,6978,"0.454",2742,"0.359",4236,"0.515",1903,"0.807",744,2698,2069,617,340,1088,1686,8857
"2017-18","Boston Celtics",55,27,6975,"0.45",2492,"0.377",4483,"0.491",1697,"0.771",767,2878,1842,604,373,1149,1618,8529
"2018-19","Boston Celtics",49,33,7423,"0.465",2829,"0.365",4594,"0.527",1598,"0.802",804,2849,2155,706,435,1052,1670,9216
"2019-20","Boston Celtics",48,24,6448,"0.461",2487,"0.364",3961,"0.522",1668,"0.801",768,2549,1655,595,406,995,1553,8183
"2020-21","Boston Celtics",36,36,6401,"0.466",2618,"0.374",3783,"0.53",1496,"0.775",765,2421,1689,556,383,1012,1471,8109
"2021-22","Boston Celtics",51,31,7167,"0.466",3044,"0.356",4123,"0.547",1713,"0.816",863,2915,2036,591,478,1118,1521,9164
"2000-01","Atlanta Hawks",25,57,6668,"0.431",933,"0.357",5735,"0.443",1811,"0.759",1028,2490,1559,634,387,1368,1863,7459
"2001-02","Atlanta Hawks",33,49,6610,"0.439",1194,"0.354",5416,"0.458",1942,"0.765",955,2445,1656,667,350,1275,1702,7711
"2002-03","Atlanta Hawks",35,47,6434,"0.444",1141,"0.352",5293,"0.464",2011,"0.793",937,2558,1679,611,473,1367,1783,7714
"2003-04","Atlanta Hawks",28,54,6529,"0.433",1249,"0.335",5280,"0.456",1976,"0.776",996,2507,1648,627,408,1350,1826,7611
"2004-05","Atlanta Hawks",13,69,6672,"0.441",973,"0.312",5699,"0.463",1994,"0.711",1100,2335,1614,629,344,1319,2009,7605
"2005-06","Atlanta Hawks",26,56,6496,"0.454",1154,"0.367",5342,"0.472",2207,"0.75",1069,2232,1625,587,394,1284,2054,7972
"2006-07","Atlanta Hawks",30,52,6372,"0.444",1038,"0.329",5334,"0.467",2203,"0.761",976,2312,1573,609,446,1306,1970,7680
"2007-08","Atlanta Hawks",37,45,6552,"0.454",1078,"0.356",5474,"0.473",2227,"0.772",1008,2454,1804,600,448,1223,1673,8054
"2008-09","Atlanta Hawks",47,35,6451,"0.458",1633,"0.366",4818,"0.49",2085,"0.737",870,2412,1657,603,376,1048,1610,8046
"2009-10","Atlanta Hawks",53,29,6801,"0.468",1455,"0.36",5346,"0.497",1914,"0.759",969,2451,1789,592,413,980,1632,8338
